id;date;details;status;payment_method;payment_date;payment_amount
1;2022-07-01T18:47:52;RAM systemic;PAID;CASH_ON_DELIVERY;2022-07-01T23:13:47;5801
2;2022-07-01T13:02:03;Idaho calculating model;ISSUED;CREDIT_CARD;2022-07-01T15:17:00;75071
3;2022-07-01T11:48:01;program SQL;CANCELLED;CREDIT_CARD;2022-07-01T10:27:25;79944
4;2022-07-01T22:42:08;Soft Central;PAID;CASH_ON_DELIVERY;2022-07-01T19:57:49;8068
5;2022-07-02T02:49:00;Bhutanese;CANCELLED;PAYPAL;2022-07-02T04:38:33;87472
6;2022-07-01T15:25:28;Engineer Shirt Court;CANCELLED;PAYPAL;2022-07-02T07:09:55;62834
7;2022-07-02T02:57:50;program transmitting parse;PAID;CREDIT_CARD;2022-07-01T17:58:08;38509
8;2022-07-01T17:39:26;Dynamic iterate;PAID;CREDIT_CARD;2022-07-01T13:56:14;6085
9;2022-07-01T10:33:09;black Maine;PAID;CREDIT_CARD;2022-07-01T13:15:14;11254
10;2022-07-01T23:48:30;Lead Well;CANCELLED;PAYPAL;2022-07-01T13:05:38;85804
