id;placed_date;status;code
1;2022-07-02T02:11:50;COMPLETED;Electronics
2;2022-07-01T20:33:49;COMPLETED;payment PCI violet
3;2022-07-02T07:02:42;CANCELLED;background out-of-the-box withdrawal
4;2022-07-01T11:05:43;COMPLETED;Music real-time
5;2022-07-01T19:09:52;CANCELLED;Hat
6;2022-07-02T07:54:40;PENDING;solid navigating
7;2022-07-01T17:50:26;PENDING;Toys maroon
8;2022-07-02T06:40:00;COMPLETED;Developer
9;2022-07-01T14:08:24;COMPLETED;Credit Soft Cotton
10;2022-07-02T04:51:00;CANCELLED;contingency Bedfordshire
